id,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,career_Accountant,career_Artist,career_Banker,career_Business Owner,career_Construction Engineer,career_Designer,career_Doctor,career_Game Developer,career_Government Officer,career_Lawyer,career_Real Estate Developer,career_Software Engineer,career_Stock Investor,career_Teacher,career_Unknown
131,0,1,5,0,25,96,73,90,85,63,84,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,0,1,4,0,16,95,82,66,63,67,92,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,4,0,27,90,63,69,80,99,69,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,1,1,6,0,0,88,52,53,56,85,93,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,1,0,1,0,3,87,62,87,96,85,90,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,0,0,2,0,6,62,83,84,75,83,85,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
137,1,0,2,0,12,85,65,60,78,81,96,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,1,1,11,79,97,76,67,61,90,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,4,0,23,90,94,98,96,68,82,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,1,0,2,0,23,97,71,82,80,97,93,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,1,0,0,0,16,88,69,87,81,77,67,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,1,1,2,1,3,71,85,77,89,98,63,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,1,0,29,70,99,79,96,60,97,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,1,0,3,1,18,93,68,76,99,80,80,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,0,0,0,0,3,92,79,81,61,86,72,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
146,1,0,3,0,6,83,72,68,94,100,98,92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
147,1,0,8,0,2,68,97,51,93,68,58,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,1,0,0,0,34,92,90,65,79,96,87,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149,0,0,4,1,22,69,91,82,99,94,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,0,1,5,0,4,76,72,72,65,82,71,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,0,0,3,0,3,86,92,79,73,73,61,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,0,0,5,0,18,91,100,84,72,84,90,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,1,0,0,0,8,78,67,82,70,65,68,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,0,0,1,0,33,89,73,85,84,73,81,98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,1,0,0,1,13,96,71,88,74,80,92,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,0,0,0,1,17,66,99,85,90,76,64,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,1,1,8,0,1,97,54,62,66,58,69,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,1,1,4,1,33,88,66,96,82,65,76,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,1,0,1,0,12,92,64,77,61,76,72,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,1,1,3,0,24,96,66,92,88,65,76,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,1,0,4,0,33,86,88,99,79,93,97,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,1,0,1,1,44,86,100,100,96,95,97,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,0,0,1,0,15,88,72,96,60,90,80,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,0,0,2,0,5,92,81,99,98,77,80,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,0,1,7,0,5,87,76,71,65,64,81,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,0,0,5,0,22,89,94,67,68,69,92,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,1,0,1,0,9,97,96,66,96,71,97,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,1,0,4,1,34,100,62,67,97,73,84,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,0,0,1,0,34,91,98,76,99,65,98,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,0,0,4,0,25,81,87,65,85,74,64,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,0,0,5,1,31,82,66,89,76,68,83,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1,0,1,0,33,100,96,75,68,77,97,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
176,1,0,2,0,20,68,100,89,75,84,78,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,1,0,3,0,15,97,92,95,75,95,90,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,3,0,26,76,94,77,88,85,91,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,5,0,35,91,99,94,94,95,98,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,1,0,4,0,12,85,73,89,73,97,66,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,1,0,2,1,5,68,69,86,87,72,80,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,1,0,1,0,31,73,99,75,70,100,86,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
183,0,0,3,1,28,65,90,75,96,91,93,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,0,0,1,0,33,92,84,85,77,81,69,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,0,0,3,0,2,69,78,69,70,100,88,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,5,1,9,78,99,64,99,65,84,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188,0,1,2,1,0,92,62,86,97,54,76,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,1,0,5,0,26,70,77,91,96,100,89,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,0,0,5,0,30,95,79,98,95,89,99,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,7,0,1,99,82,93,83,92,90,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,1,0,1,1,26,96,66,79,80,88,61,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,0,0,2,0,2,85,90,85,74,96,71,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
194,1,0,5,0,9,91,94,82,100,68,66,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195,0,0,2,0,30,85,64,93,80,82,70,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,3,0,24,94,73,61,68,65,85,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,1,0,4,0,21,95,69,62,87,84,83,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,0,0,2,0,14,69,90,83,70,83,91,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,0,0,1,0,24,95,72,94,96,91,61,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,0,0,3,0,34,94,88,65,88,60,81,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,1,0,1,1,34,82,81,100,81,60,79,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,1,0,6,1,27,99,73,91,91,93,80,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
205,0,0,1,0,1,98,95,90,81,82,86,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1,0,3,0,17,97,78,81,67,90,95,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
207,1,0,5,0,0,99,86,68,94,97,77,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,1,0,3,1,12,99,73,77,74,62,68,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,2,0,22,75,83,70,71,86,95,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,1,1,14,63,80,99,78,60,84,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,1,0,0,0,41,96,88,90,100,94,87,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
212,1,0,4,0,32,91,73,86,73,84,60,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,0,0,1,0,22,99,71,80,82,95,64,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
215,0,0,3,0,17,84,62,92,74,73,98,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,1,0,2,0,2,100,90,82,79,94,83,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,4,0,33,82,71,93,90,90,76,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,5,0,29,75,88,65,80,76,94,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
219,0,1,1,0,27,66,71,94,72,96,70,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,1,0,6,1,34,99,88,72,76,68,92,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
221,1,0,3,0,2,99,76,94,88,75,66,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,0,0,3,0,22,95,87,79,95,84,90,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
223,1,0,7,0,33,99,61,75,68,66,90,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,1,0,5,0,17,65,72,96,69,78,93,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,1,0,7,0,4,85,55,74,71,66,50,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
226,0,0,7,1,3,69,78,57,72,71,96,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
227,0,0,7,0,3,75,76,88,65,97,83,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228,0,0,7,1,17,91,78,72,69,77,91,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,1,0,3,0,6,92,95,61,98,89,85,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
230,1,0,7,0,9,62,64,65,86,67,94,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,1,1,2,0,35,87,91,98,94,100,87,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
232,0,0,3,0,17,97,88,87,61,86,92,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233,0,0,1,0,7,97,92,79,88,92,99,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,1,0,5,0,16,98,88,92,84,90,90,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
235,0,0,1,0,20,96,67,88,95,82,75,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
236,1,1,7,0,0,98,89,81,56,72,74,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237,1,0,2,0,27,87,82,95,81,85,84,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
238,1,0,0,0,24,96,80,86,94,63,72,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
239,1,0,2,0,30,82,74,77,95,81,76,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,1,0,6,0,20,100,72,99,64,70,93,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
241,1,0,0,0,27,91,81,91,76,100,92,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
242,1,0,6,0,2,87,62,85,64,63,61,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,0,0,6,0,16,75,95,84,87,78,82,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
244,1,1,1,0,27,86,78,61,71,94,92,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,1,0,4,1,24,94,62,97,96,74,68,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1,0,1,0,15,84,91,94,66,78,71,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
248,1,0,3,0,25,92,81,68,96,99,92,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
249,0,0,2,0,32,95,84,95,72,62,80,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250,1,0,3,0,35,90,88,94,99,92,87,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
251,0,0,3,0,3,93,100,87,66,85,96,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,1,0,28,69,63,88,73,83,74,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
253,1,0,1,0,3,97,80,80,65,91,67,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
254,0,0,0,0,21,76,72,80,92,41,90,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,1,0,3,0,35,85,85,92,86,99,86,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
256,0,0,7,1,35,91,87,89,97,93,87,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
257,0,0,7,1,14,82,95,92,62,73,75,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,1,7,0,1,59,56,87,97,62,74,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,0,0,9,1,0,78,71,73,51,80,84,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,1,0,2,0,12,89,65,82,65,76,95,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261,0,0,3,0,35,86,91,92,96,90,96,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
